screen_name,tweet,time,hashtags,cashtags,mentions,emojis,retweet_count,favorite_count
LeBronJames,Michael Jordan s highest scoring games against every NBA team. #StriveForGreatness,4/11/16 11:58,#StriveForGreatness,,,Trophy|Heavy_check_mark,227,201
LeBronJames,Kobe Bryant s highest scoring games against every NBA team. #StriveForGreatness,4/11/16 11:44,#StriveForGreatness,,,Trophy|Heavy_check_mark,240,243
LeBronJames,Throwback Allen Iverson #SCTop10 #TheAnswer,4/11/16 7:09,#SCTop10|#TheAnswer,,,Trophy,291,264
LeBronJames,The final #CavsHWC night is here can you dig it #CavsHawks PREVIEW: pic.twitter.com/gN7Y8hGt8I,4/11/16 6:01,#CavsHWC|#CavsHawks,,,,142,347
LeBronJames,LeBron James: I m Coming Home Movie,4/11/16 2:53,,,,,342,333
LeBronJames,Tough finish. LBJ: 33pts 7reb Love: 20pts 13reb JR: 24pts #CavsBulls BOX: pic.twitter.com/rwX0gYrfW6,4/9/16 20:03,#CavsBulls,,,,239,403
LeBronJames,Tonights #CavsBulls starters #LetsGoCavs on #NBAonABC,4/9/16 17:29,#CavsBulls|#LetsGoCavs|#NBAonABC,,,Clapping_hands_sign,216,379
LeBronJames,,4/9/16 15:29,,,338299807,Fisted_hand_sign_(light_skin_tone)|Collision_symbol,1.9K,6.1K
LeBronJames,Kobe Tour #KB20,4/9/16 15:22,#KB20,,,,319,420
LeBronJames,Josh Richardson with the huge SLAM #HeatNation,4/8/16 14:40,#HeatNation,,,Fire|Fire|Fire,340,347
LeBronJames,Youd be surprised what you can get into on an off day... #MeetRon @BlazePizza,4/8/16 8:35,#MeetRon,,459544233,,948,2.3K
LeBronJames,The greatest inbounds play of all time,4/8/16 11:12,,,,Face_with_tears_of_joy,422,432
LeBronJames,Vintage Kobe #KB24 #BlackMamba,4/7/16 22:33,#KB24|#BlackMamba,,,Snake,341,320
LeBronJames,Farewell Kobe Tour. #KB20,4/7/16 22:20,#KB20,,,,350,355
LeBronJames,Kobe Bryant working on his 2nd Sport.,4/7/16 16:30,,,,Trophy|Athletic_shoe|Soccer_ball,335,307
